acceptor,best PCE
39_126_39,21.11091
39_28_86_28_39,20.945095
39_15_86_28_39,20.502439
39_50_86_28_39,20.493611
39_3_86_28_39,20.48432
39_28_86_50_39,20.470919
39_28_86_15_39,20.454294
39_29_86_28_39,20.39739
39_99_86_28_39,20.381785
39_28_86_3_39,20.379887
39_100_86_28_39,20.359862
39_28_86_29_39,20.359498
39_28_86_99_39,20.352988
39_28_86_100_39,20.346525
39_28_86_153_39,20.298632
39_3_86_43_39,20.289883
39_156_86_28_39,20.280838
39_28_86_156_39,20.26939
39_153_86_28_39,20.22495
39_78_86_28_39,20.218838
39_15_86_15_39,20.209936
39_71_86_28_39,20.207741
39_50_34_28_39,20.199416
39_29_86_3_39,20.196232
39_28_86_19_39,20.170115
39_28_86_125_39,20.152826
39_28_86_16_39,20.113056
39_28_86_78_39,20.113048
39_56_86_28_39,20.109555
39_28_86_158_39,20.101499
39_158_86_28_39,20.097614
39_156_2_28_39,20.092084
39_67_86_28_39,20.082247
39_28_86_109_39,20.074286
39_14_86_28_39,20.071251
39_28_86_14_39,20.070542
39_50_86_15_39,20.066748
39_28_86_24_39,20.066526
39_7_86_28_39,20.066435
39_28_86_57_39,20.06243
39_34_86_28_39,20.055202
39_28_86_46_39,20.053103
39_29_86_29_39,20.051866
39_55_86_28_39,20.049897
39_28_86_123_39,20.046859
39_28_86_131_39,20.044522
39_28_86_56_39,20.038951
39_16_86_28_39,20.032005
39_142_86_28_39,20.023122
39_76_86_28_39,19.999747
39_15_86_50_39,19.998776
39_28_86_11_39,19.998684
39_161_86_28_39,19.989661
39_103_86_28_39,19.988797
39_28_86_55_39,19.984267
39_25_86_28_39,19.983259
39_28_86_8_39,19.965818
39_40_86_28_39,19.961722
39_83_39,19.94766
39_159_86_28_39,19.935987
39_28_86_159_39,19.935132
39_46_86_28_39,19.907638
39_79_86_28_39,19.899848
39_100_86_100_39,19.881947
39_100_86_71_39,19.879392
39_50_86_50_39,19.875595
39_28_86_93_39,19.870487
39_28_86_63_39,19.868444
39_156_86_100_39,19.866538
39_28_86_106_39,19.86088
39_47_86_28_39,19.837722
39_3_118_28_39,19.828665
39_28_86_76_39,19.824057
39_16_86_3_39,19.820556
39_49_86_50_39,19.820371
39_28_115_15_39,19.818055
39_135_39,19.817874
39_15_86_158_39,19.814664
39_50_86_153_39,19.812644
39_28_86_157_39,19.809087
39_118_86_28_39,19.806408
39_50_86_12_39,19.804007
39_28_86_138_39,19.799952
39_3_115_28_39,19.798304
39_28_86_149_39,19.795804
39_147_86_15_39,19.791606
39_71_86_153_39,19.7883
39_99_86_100_39,19.785198
39_50_86_49_39,19.784145
39_130_39,19.782828
39_28_86_33_39,19.779867
39_153_86_153_39,19.779237
39_34_39,19.779017
39_3_86_117_39,19.775289
39_50_86_4_39,19.772443
39_50_86_148_39,19.770574
39_153_86_113_39,19.768465
39_130_130_130_39,19.768212
39_155_86_28_39,19.768164
39_15_86_168_39,19.76794
39_54_86_28_39,19.755881
39_38_86_15_39,19.754251
39_125_86_133_39,19.753423
39_50_86_123_39,19.75011
39_29_86_34_39,19.746438
39_126_86_153_39,19.740416
39_50_86_13_39,19.740149
39_153_86_71_39,19.72931
39_28_86_102_39,19.723049
39_50_86_48_39,19.722407
39_49_86_32_39,19.716117
39_28_86_165_39,19.715044
39_123_86_15_39,19.702607
39_113_86_113_39,19.701323
39_28_86_54_39,19.695367
39_71_86_71_39,19.691846
39_28_107_28_39,19.689278
39_20_86_15_39,19.68807
39_15_86_122_39,19.686514
39_19_86_19_39,19.683972
39_12_86_50_39,19.678829
39_130_127_130_39,19.676292
39_50_86_7_39,19.670658
39_49_86_156_39,19.67006
39_29_86_27_39,19.664079
39_133_39,19.658685
39_153_86_50_39,19.65522
39_49_86_49_39,19.649912
39_28_86_136_39,19.648903
39_50_86_159_39,19.646036
39_133_86_153_39,19.644799
39_117_86_50_39,19.643791
39_113_86_50_39,19.630902
39_158_86_125_39,19.63082
39_28_132_158_39,19.630527
39_28_86_145_39,19.623843
39_156_86_156_39,19.62278
39_129_86_99_39,19.618057
39_48_86_50_39,19.615502
39_100_39,19.613084
39_28_86_135_39,19.60967
39_28_86_23_39,19.608405
39_104_39,19.602359
39_50_86_105_39,19.597867
39_158_86_53_39,19.592372
39_30_86_100_39,19.587391
39_108_86_28_39,19.586563
39_122_86_28_39,19.585249
39_153_86_120_39,19.58361
39_38_86_78_39,19.582431
39_28_86_44_39,19.580734
39_61_86_50_39,19.580204
39_30_86_29_39,19.579303
39_110_86_28_39,19.577212
39_28_130_130_39,19.566554
39_151_86_153_39,19.56368
39_24_39,19.561728
39_100_86_158_39,19.561513
39_71_86_12_39,19.54113
39_113_86_126_39,19.540655
39_104_86_28_39,19.539042
39_71_86_30_39,19.537063
39_130_130_28_39,19.536959
39_5_86_158_39,19.527683
39_118_39,19.526517
39_32_86_49_39,19.52321
39_130_127_127_39,19.522457
39_147_86_147_39,19.522415
39_113_86_153_39,19.521158
39_148_86_50_39,19.516654
39_62_86_29_39,19.493591
39_49_86_47_39,19.487936
39_113_86_49_39,19.48563
39_71_86_6_39,19.485053
39_127_127_130_39,19.484026
39_99_86_99_39,19.478695
39_130_130_127_39,19.477676
39_71_86_22_39,19.465853
39_153_86_14_39,19.465518
39_28_127_130_39,19.460194
39_15_104_15_39,19.455406
39_27_86_50_39,19.451817
39_28_130_28_39,19.451728
39_130_127_3_39,19.45034
39_127_130_130_39,19.450125
39_130_130_3_39,19.449627
39_71_86_49_39,19.446574
39_16_86_16_39,19.441813
39_28_86_28_65,19.441446
39_99_86_13_39,19.441059
39_28_86_28_64,19.434336
39_156_86_77_39,19.430874
39_3_127_130_39,19.42809
39_50_118_153_39,19.427214
39_68_86_15_39,19.426121
39_15_86_157_39,19.425612
39_62_86_50_39,19.424567
39_115_39,19.422893
39_76_86_153_39,19.420608
39_7_86_50_39,19.416181
39_148_86_148_39,19.415506
39_28_86_107_39,19.411026
39_86_86_50_39,19.409583
39_28_86_28_55,19.407805
39_30_86_156_39,19.403935
39_3_130_130_39,19.400215
39_50_86_130_55,19.394387
39_38_86_38_39,19.394031
39_29_86_45_39,19.392161
39_132_39,19.384913
39_136_86_15_39,19.380228
39_141_86_141_39,19.378895
39_158_86_158_39,19.37769
39_10_86_99_39,19.377588
39_50_130_130_39,19.376691
39_162_86_99_39,19.376353
39_28_86_28_49,19.365428
39_113_39,19.364376
39_158_86_119_39,19.358263
39_48_86_48_39,19.354154
39_139_86_139_39,19.354024
39_28_86_28_60,19.353613
39_28_86_28_27,19.348647
39_144_86_153_39,19.345727
39_146_86_28_39,19.344937
39_97_86_50_39,19.341394
39_130_130_125_39,19.340947
39_130_127_28_39,19.339658
39_56_86_119_39,19.335396
39_14_86_14_39,19.335374
39_7_86_7_39,19.329654
39_142_86_71_39,19.327113
39_130_130_43_39,19.326292
39_12_86_12_39,19.326149
39_163_86_156_39,19.323693
39_49_86_79_39,19.323605
39_100_130_130_39,19.32144
39_133_130_130_39,19.320343
39_50_86_90_39,19.317477
39_22_86_71_39,19.316132
39_28_125_156_39,19.315829
39_28_86_28_1,19.315702
39_130_127_43_39,19.311777
39_161_86_12_39,19.311568
39_130_130_100_39,19.309367
39_28_86_28_32,19.307932
39_100_86_17_39,19.299194
39_130_129_130_39,19.291402
39_15_86_44_39,19.270493
39_130_130_6_39,19.268932
39_130_130_50_39,19.268582
39_111_86_153_39,19.263519
39_102_86_50_39,19.259338
39_119_86_14_39,19.254512
39_165_86_50_39,19.253424
39_130_130_19_39,19.251578
39_159_86_159_39,19.244527
39_71_86_47_39,19.24091
39_130_130_71_39,19.240038
39_98_86_28_39,19.239656
39_100_92_28_39,19.237373
39_50_86_54_39,19.237318
39_156_86_80_39,19.23686
39_130_70_130_39,19.236466
39_28_86_28_46,19.235998
39_132_127_130_39,19.233842
39_25_86_25_39,19.23359
39_126_6,19.229566
39_50_108_28_39,19.228597
39_30_86_30_39,19.228326
39_130_127_125_39,19.220609
39_125_130_130_39,19.217799
39_108_86_3_39,19.214966
39_28_86_134_39,19.213684
39_28_86_28_54,19.211234
39_130_130_133_39,19.209893
39_130_139_130_39,19.205413
39_130_95_130_39,19.202133
39_78_39,19.200065
39_28_86_28_47,19.198555
39_115_130_130_39,19.198147
39_65_86_50_39,19.192493
39_28_86_28_28,19.192432
39_28_86_28_15,19.185944
39_78_130_130_39,19.185868
39_6_130_130_39,19.182283
64_126_39,19.179054
39_126_0,19.178553
39_56_86_56_39,19.17836
39_43_86_49_39,19.175874
39_1_86_50_39,19.173545
39_28_86_28_44,19.171964
39_28_107_153_39,19.170426
39_49_130_130_39,19.164846
39_28_86_28_38,19.162062
39_130_130_167_39,19.161265
39_130_33_130_39,19.158208
39_130_127_133_39,19.154195
39_28_86_28_68,19.151453
39_155_86_99_39,19.147033
39_127_130_127_39,19.14413
39_154_86_49_39,19.143449
39_161_86_161_39,19.137969
39_100_108_28_39,19.137512
39_126_65,19.131512
39_3_114_28_39,19.129047
39_133_127_130_39,19.128233
39_132_130_130_39,19.12488
39_28_130_43_39,19.124273
39_125_127_130_39,19.118465
39_50_127_130_39,19.118132
39_28_127_28_39,19.117623
39_57_130_130_39,19.115518
39_28_130_3_39,19.115077
39_126_9,19.114169
39_28_86_28_61,19.113431
39_167_130_130_39,19.113258
39_130_130_152_39,19.112583
39_126_66,19.112341
39_28_86_28_36,19.11208
39_28_86_28_43,19.108585
39_130_130_30_39,19.108408
39_21_130_130_39,19.107991
39_28_130_127_39,19.107772
39_130_127_100_39,19.107763
39_133_130_28_39,19.107172
39_24_130_130_39,19.104151
39_31_86_159_39,19.102221
39_126_25,19.099507
39_130_130_29_39,19.097904
39_130_130_97_39,19.09741
29_126_39,19.096763
39_71_127_130_39,19.094253
39_39_86_47_39,19.0926
39_15_127_15_39,19.09054
39_100_127_130_39,19.086232
39_130_2_130_39,19.084661
39_130_152_130_39,19.078974
39_28_132_130_39,19.076605
49_126_39,19.074011
39_135_86_50_39,19.071341
39_126_33,19.069564
39_50_86_83_39,19.069079
39_130_130_78_39,19.067766
39_28_130_125_39,19.063054
39_47_86_105_39,19.062277
39_130_57_3_39,19.059194
39_46_86_46_39,19.058397
39_130_130_22_39,19.057472
39_28_86_28_17,19.056802
39_127_159_130_39,19.050608
39_50_86_107_39,19.048396
39_130_129_28_39,19.046246
39_15_86_107_39,19.046079
39_126_27,19.045805
39_130_127_6_39,19.043622
39_153_86_23_39,19.038817
27_126_39,19.038296
39_158_130_130_39,19.037116
39_49_127_130_39,19.034561
39_28_127_43_39,19.033296
39_130_127_153_39,19.030699
39_130_130_21_39,19.026283
39_39_130_130_39,19.025905
39_126_64,19.025765
39_130_130_159_39,19.021585
39_126_60,19.020468
39_99_86_108_39,19.019724
39_64_86_56_39,19.018962
39_126_63,19.018305
39_28_130_6_39,19.017734
39_61_130_130_39,19.015844
39_3_130_3_39,19.014274
39_130_130_40_39,19.014131
39_130_130_115_39,19.01349
39_28_86_28_10,19.009821
39_117_130_28_39,19.008148
39_130_130_132_39,19.005568
39_6_127_130_39,19.004621
39_130_130_122_39,19.003437
39_130_102_130_39,19.00062
39_127_130_3_39,18.998771
39_6_130_28_39,18.99823
39_28_86_28_20,18.990085
39_130_130_25_39,18.989921
39_3_86_18_39,18.986258
39_78_127_130_39,18.985405
39_28_86_28_34,18.981441
39_130_130_39_39,18.980601
39_130_130_82_39,18.979375
39_110_86_71_39,18.977178
39_60_130_130_39,18.971811
39_14_86_23_39,18.969806
39_130_130_67_39,18.968563
39_130_127_113_39,18.965504
39_130_130_120_39,18.964845
39_130_127_132_39,18.963573
39_113_130_130_39,18.963485
39_100_86_84_39,18.962721
39_130_130_161_39,18.959031
39_15_86_15_65,18.956787
39_28_129_28_39,18.947182
39_130_27_130_39,18.945085
39_28_86_28_14,18.944997
39_130_130_102_39,18.944413
39_20_130_130_39,18.941564
39_28_86_28_35,18.941427
39_130_22_28_39,18.940888
39_130_130_46_39,18.940287
39_99_86_104_39,18.940087
39_143_127_130_39,18.938811
39_28_130_167_39,18.938321
39_28_86_70_63,18.938073
39_126_4,18.935747
39_24_127_130_39,18.9353
39_130_130_73_39,18.934905
39_130_40_3_39,18.933231
39_130_119_130_39,18.930419
39_130_130_24_39,18.929726
39_126_56,18.92626
39_130_116_130_39,18.926203
39_130_130_158_39,18.925073
39_127_39,18.923983
39_127_130_126_39,18.923123
39_130_130_143_39,18.922952
39_44_86_99_39,18.920393
60_126_39,18.920142
39_100_130_28_39,18.903869
39_90_86_76_39,18.903259
39_130_130_164_39,18.901594
39_130_97_130_39,18.900784
39_28_86_28_67,18.900078
39_28_86_28_48,18.89897
39_38_130_130_39,18.897315
39_3_106_28_39,18.895185
39_126_15,18.894172
39_164_130_130_39,18.894081
39_28_86_28_24,18.892194
39_130_127_167_39,18.890975
39_116_130_130_39,18.890035
39_126_46,18.889295
39_97_130_130_39,18.887504
39_28_117_130_39,18.886358
39_132_130_28_39,18.885272
39_126_28,18.88506
39_130_132_28_39,18.884352
39_130_127_78_39,18.884131
39_109_130_130_39,18.882133
39_130_33_28_39,18.878879
39_130_130_62_39,18.87613
39_50_86_146_39,18.874382
39_130_130_86_39,18.872833
39_28_86_28_50,18.870689
39_68_130_130_39,18.870544
39_130_127_16_39,18.863898
39_137_130_130_39,18.862686
39_130_127_115_39,18.862324
39_28_86_28_2,18.860802
39_49_86_18_39,18.859325
39_130_78_28_39,18.858663
39_62_130_130_39,18.857907
39_28_130_159_39,18.853979
39_130_166_28_39,18.853242
39_130_130_17_39,18.849251
39_126_54,18.845999
39_153_114_28_39,18.845488
39_130_5_130_39,18.844573
39_28_71_130_39,18.844197
39_133_130_133_39,18.843891
39_83_62,18.840562
39_28_86_28_3,18.840168
39_28_86_28_7,18.833601
39_130_130_130_65,18.833067
39_120_130_130_39,18.831779
39_106_130_130_39,18.831413
39_41_130_130_39,18.831225
39_28_33_130_39,18.831125
39_53_130_28_39,18.830156
39_3_127_3_39,18.823722
39_126_26,18.823226
39_83_65,18.82053
39_47_86_47_39,18.820363
