acceptor,best PCE
39_15_86_15_64,18.818778
39_130_127_109_39,18.818249
39_153_86_18_39,18.816666
39_28_31_29_39,18.813114
39_17_130_130_39,18.812817
39_28_130_120_39,18.810162
39_130_127_116_39,18.810141
39_12_130_130_39,18.809516
47_126_39,18.808014
39_80_130_130_39,18.805284
39_43_127_130_39,18.80452
39_159_130_28_39,18.804191
39_111_86_111_39,18.803287
39_168_130_28_39,18.799797
10_126_39,18.799134
39_28_127_120_39,18.796524
39_130_62_130_39,18.795978
39_126_29,18.792625
39_28_86_20_6,18.79227
39_126_32,18.792224
39_130_141_3_39,18.791409
39_126_47,18.790674
39_136_130_130_39,18.788344
39_130_62,18.787469
39_76_86_58_39,18.786285
39_28_86_28_8,18.783989
39_130_30_28_39,18.783785
39_98_86_50_39,18.782112
39_79_130_130_39,18.781276
39_130_130_138_39,18.780998
39_130_129_153_39,18.780906
39_130_130_77_39,18.778274
39_130_129_6_39,18.777944
39_15_86_15_60,18.777578
39_28_130_38_39,18.774464
39_28_86_28_52,18.769065
39_86_0,18.767961
39_158_130_28_39,18.767091
39_127_78_130_39,18.765969
39_29_130_3_39,18.765735
39_126_10,18.764376
39_130_130_76_39,18.763412
39_130_130_144_39,18.762274
39_3_162_130_39,18.760954
39_28_39_130_39,18.756181
39_108_39,18.755653
39_130_130_79_39,18.755534
39_26_86_148_39,18.75531
39_15_86_15_46,18.752185
39_28_86_28_23,18.750278
39_28_106_153_39,18.749046
39_67_127_130_39,18.748811
39_133_78_130_39,18.745639
39_130_75_130_39,18.743453
39_28_86_0_28,18.74334
39_112_39,18.741617
39_28_86_143_65,18.739569
39_126_43,18.735021
39_50_86_50_62,18.733539
39_163_127_130_39,18.733118
39_130_50_3_39,18.732835
39_167_130_28_39,18.731812
39_83_64,18.730967
39_28_86_161_25,18.727176
39_37_39,18.726188
39_126_41,18.725922
39_9_130_28_39,18.725464
39_43_130_130_39,18.72502
39_78_127_28_39,18.720687
39_130_127_76_39,18.718798
39_28_130_21_39,18.717605
39_130_130_130_9,18.717111
55_83_39,18.716502
39_126_45,18.714637
39_130_25_28_39,18.713247
39_28_127_97_39,18.71111
39_126_17,18.709947
39_130_126_50_39,18.709245
39_28_95_28_39,18.705515
39_26_86_125_39,18.704451
39_3_130_148_39,18.70196
65_130_130_130_39,18.698296
39_6_57_130_39,18.697072
39_134_39,18.695887
39_130_130_103_39,18.69557
39_83_6,18.695254
39_126_38,18.694547
39_18_86_153_39,18.688976
39_130_130_130_33,18.688431
39_153_86_134_39,18.683086
39_28_86_28_40,18.682457
39_15_86_15_4,18.681358
36_126_39,18.679807
39_126_36,18.679759
39_66_130_130_39,18.678935
39_28_130_143_39,18.678465
39_126_44,18.676509
34_126_39,18.675823
39_159_130_3_39,18.671193
39_126_34,18.669882
39_145_130_130_39,18.669349
39_28_86_28_57,18.667985
39_126_58,18.666109
39_15_86_15_15,18.661129
60_83_39,18.661079
39_130_33_43_39,18.660865
39_92_127_130_39,18.657443
39_130_7_3_39,18.656892
39_165_130_28_39,18.655063
39_28_86_28_22,18.654454
39_135_0,18.653729
39_28_130_102_39,18.653693
39_83_63,18.653516
39_34_65,18.652128
39_130_130_130_25,18.651315
39_15_86_15_1,18.651136
39_132_130_133_39,18.649956
39_28_86_78_13,18.645267
39_83_27,18.645245
39_50_86_50_9,18.642794
39_100_65,18.640794
39_71_86_130_14,18.640085
39_28_7_28_39,18.639441
39_28_130_158_39,18.638917
39_3_86_3_1,18.637618
39_133_130_167_39,18.637103
39_50_130_50_39,18.6358
39_54_130_130_39,18.631688
39_99_130_3_39,18.630624
39_130_64,18.629697
39_28_130_62_39,18.629087
39_86_127_130_39,18.628473
39_34_6,18.625855
39_130_149_130_39,18.625507
39_50_86_50_66,18.624125
9_50_86_50_39,18.622402
9_83_39,18.619866
39_130_130_130_32,18.619773
39_50_86_50_64,18.618081
39_83_60,18.617177
39_15_86_15_32,18.616477
39_120_130_28_39,18.613289
39_130_130_2_39,18.613145
39_28_130_132_39,18.610613
39_83_0,18.609155
1_130_130_130_39,18.607584
39_135_65,18.606898
39_28_86_25_9,18.604921
39_130_33_133_39,18.603653
39_83_9,18.602879
39_130_130_130_44,18.602257
39_130_55,18.602045
39_130_160_43_39,18.601692
39_87_130_130_39,18.60164
39_127_127_127_39,18.601241
39_29_86_29_9,18.599785
39_130_65,18.599376
39_112_130_130_39,18.59876
39_130_130_130_1,18.597946
39_100_86_100_65,18.597841
39_28_86_126_11,18.595761
39_130_108_130_39,18.59425
49_34_39,18.59105
39_130_10_28_39,18.590312
39_83_66,18.588328
39_80_130_28_39,18.587575
39_21_39,18.587224
39_28_86_75_63,18.578777
56_130_130_130_39,18.576371
39_83_29,18.575696
39_10_130_3_39,18.574678
39_115_65,18.574221
39_146_86_16_39,18.572675
39_28_127_20_39,18.57053
39_100_0,18.570223
63_133_39,18.568761
39_130_130_130_56,18.5687
39_28_86_100_53,18.567337
39_130_7_133_39,18.566767
39_153_86_153_6,18.565892
39_126_67,18.559435
39_28_86_28_16,18.559343
65_28_130_28_39,18.556861
0_135_39,18.55528
39_126_23,18.554197
39_125_39,18.550033
39_28_130_28_65,18.548048
39_130_88_28_39,18.547244
39_130_130_130_20,18.546717
39_130_130_130_60,18.546317
39_83_33,18.545678
39_50_86_19_0,18.545514
39_130_130_130_64,18.544969
39_135_6,18.542554
39_126_35,18.542416
39_135_25,18.542132
39_130_23_130_39,18.542007
39_135_64,18.541483
39_133_33,18.541302
25_115_39,18.538059
39_15_86_123_6,18.537558
39_126_37,18.536777
39_6_130_6_39,18.529568
39_130_59_28_39,18.529267
39_34_60,18.52809
30_83_39,18.527051
39_133_16_130_39,18.526227
39_28_17_130_39,18.525814
39_115_64,18.525699
39_130_124_28_39,18.520343
39_130_130_90_39,18.519997
39_130_103_28_39,18.51726
39_50_6_130_39,18.516739
39_130_13_3_39,18.516168
39_130_130_130_12,18.515849
39_130_130_58_39,18.513905
39_1_130_130_39,18.512434
39_100_130_6_39,18.511604
39_83_56,18.511348
39_28_86_163_30,18.509611
39_126_68,18.508216
63_135_39,18.50812
39_125_152_130_39,18.506095
39_28_127_34_39,18.505174
62_104_39,18.505135
39_43_130_28_39,18.504226
39_133_0,18.503077
39_130_130_64_39,18.498887
39_50_86_50_60,18.497374
39_28_86_168_12,18.497156
39_42_130_28_39,18.496965
39_153_86_153_63,18.496852
39_130_33,18.496506
39_3_113_130_39,18.496008
39_130_130_130_48,18.494605
39_126_2,18.492187
39_126_59,18.490953
39_133_9,18.488413
39_83_4,18.486644
39_135_55,18.485488
39_34_30,18.485171
39_135_9,18.48491
39_92_39,18.483326
39_34_54,18.482752
39_100_130_100_39,18.482717
39_1_127_130_39,18.481439
39_28_86_22_54,18.480877
39_130_130_130_26,18.480627
39_130_130_87_39,18.480595
39_50_86_50_29,18.480261
39_133_130_60_39,18.4797
39_143_130_3_39,18.479212
39_34_0,18.478901
39_130_25,18.47371
39_153_86_153_55,18.472032
39_43_130_43_39,18.471946
12_83_39,18.468626
39_100_86_100_60,18.468203
39_28_86_22_66,18.466868
39_153_120_28_39,18.466339
39_57_130_125_39,18.465434
39_125_130_125_39,18.465279
39_83_28,18.465082
39_130_65_130_39,18.463366
39_28_86_65_25,18.462762
39_130_130_130_21,18.461885
39_130_63,18.459603
39_130_6,18.459574
39_135_33,18.457356
39_100_64,18.457056
39_130_49,18.455191
39_3_127_57_39,18.455142
39_50_86_114_55,18.454646
39_34_29,18.454372
39_28_86_152_28,18.453557
39_28_130_80_39,18.452242
39_130_60,18.451285
39_15_86_15_17,18.449971
39_34_49,18.449635
39_126_31,18.449159
39_130_56,18.447421
39_115_25,18.447233
39_28_86_79_30,18.445751
39_130_108_43_39,18.44359
39_106_39,18.442514
39_130_130_130_43,18.44189
39_28_76_28_39,18.441465
39_28_161_28_39,18.43666
39_132_143_130_39,18.435235
39_28_130_28_32,18.432061
39_135_66,18.43156
39_3_130_62_39,18.429378
39_130_130_130_4,18.429366
39_133_6,18.428743
39_94_130_28_39,18.428201
65_100_39,18.42369
39_130_127_130_55,18.422393
39_1_86_1_39,18.422051
39_130_130_84_39,18.421605
39_130_30_133_39,18.420752
39_130_130_130_61,18.420063
39_130_69_28_39,18.418718
39_103_39,18.416613
39_130_130_130_11,18.414306
39_130_130_130_53,18.412834
39_28_130_111_39,18.412422
39_3_127_99_39,18.411044
39_28_86_115_52,18.41032
39_130_127_162_39,18.408802
39_130_68_28_39,18.408718
39_28_127_103_39,18.408076
39_15_86_166_63,18.406957
39_24_130_6_39,18.406625
27_34_39,18.405415
39_130_66,18.40487
39_24_65,18.404073
39_82_130_100_39,18.400329
39_34_28,18.399711
39_24_6,18.399319
39_126_3,18.39774
39_100_55,18.397303
39_15_86_48_63,18.396571
39_28_130_28_9,18.395588
39_130_55_127_39,18.3952
39_126_42,18.393766
39_34_56,18.393752
39_100_66,18.393718
39_130_130_130_52,18.39364
39_3_130_163_39,18.3935
39_130_1,18.393107
39_130_130_130_59,18.391976
39_126_14,18.391244
39_130_130_130_17,18.390776
39_100_25,18.389821
39_153_103_50_39,18.389186
39_153_86_153_60,18.388412
39_58_127_130_39,18.388063
39_34_12,18.387373
39_43_147_130_39,18.386626
39_126_50,18.386601
39_130_129_137_39,18.385815
39_118_65,18.385113
39_28_130_149_39,18.384346
39_15_86_3_17,18.381707
39_3_127_109_39,18.380118
39_130_158_3_39,18.379481
39_100_6,18.378722
39_130_30,18.37822
39_49_86_49_9,18.378071
30_135_39,18.375413
39_100_61,18.373304
39_28_165_28_39,18.372984
39_28_130_36_39,18.372058
39_126_24,18.370433
39_15_86_24_64,18.370046
39_100_54,18.369824
39_28_86_116_47,18.367678
39_130_102_50_39,18.366036
39_50_86_117_33,18.363394
39_28_86_31_66,18.363373
39_167_130_167_39,18.362272
39_113_86_113_6,18.361489
50_126_39,18.361401
39_28_130_28_66,18.358988
46_130_39,18.358846
39_132_95_130_39,18.357154
39_28_86_91_26,18.357064
39_50_86_50_47,18.35609
39_100_86_100_46,18.356088
39_3_5_130_39,18.35414
39_28_130_28_1,18.353075
39_28_130_28_21,18.352977
39_118_0,18.352359
60_100_39,18.351054
39_135_1,18.350221
39_28_130_28_49,18.349662
39_28_130_28_12,18.34966
39_28_130_28_60,18.349247
39_28_127_93_39,18.348455
39_28_86_71_16,18.348412
39_130_61_3_39,18.346439
39_50_86_50_12,18.34642
9_71_86_71_39,18.346017
1_130_39,18.345122
39_135_54,18.344816
39_130_127_130_6,18.342805
39_28_130_157_39,18.341195
39_130_130_130_35,18.341149
39_130_54_28_39,18.340026
39_130_28,18.339995
39_28_86_71_8,18.33979
39_28_130_28_28,18.33762
39_130_130_130_13,18.335671
39_49_86_49_66,18.334349
32_34_39,18.33411
39_130_130_130_37,18.333501
39_133_55,18.331239
12_115_39,18.330487
39_130_165_3_39,18.330174
39_28_86_21_18,18.329582
1_28_130_28_39,18.329348
39_84_130_130_39,18.327826
39_135_61,18.326059
39_125_63_130_39,18.325637
39_130_127_130_9,18.325381
39_104_65,18.324678
39_34_46,18.324647
39_126_52,18.324644
39_83_11,18.323182
39_115_54,18.318794
39_132_65,18.316433
39_130_130_130_58,18.315001
63_100_39,18.311972
39_28_127_17_39,18.310999
49_133_39,18.309431
39_28_86_155_30,18.30902
39_28_113_28_39,18.307868
39_104_63,18.307591
39_24_64,18.304048
39_130_12,18.301986
39_130_130_130_34,18.301974
9_49_86_49_39,18.299832
39_100_9,18.299346
39_135_4,18.298751
39_130_130_130_45,18.298143
39_50_86_50_61,18.298062
39_130_78_132_39,18.297161
39_135_28,18.296741
39_104_0,18.296694
39_132_66,18.296062
39_56_86_99_62,18.295331
39_104_86_104_39,18.294747
39_100_130_25_39,18.294475
7_126_39,18.29443
39_14_127_3_39,18.294424
39_100_49,18.293318
39_132_0,18.29245
47_50_86_50_39,18.292027
39_130_44,18.291944
39_24_0,18.289903
39_115_6,18.287723
39_130_46,18.286056
39_115_55,18.285562
39_41_130_3_39,18.285129
12_28_130_28_39,18.284965
39_118_6,18.284918
39_21_127_3_39,18.283178
39_133_127_133_39,18.281757
39_28_86_116_43,18.281023
39_130_33_78_39,18.280487
39_34_44,18.279786
39_83_26,18.278395
39_113_65,18.277765
39_100_56,18.277426
39_130_130_130_18,18.277048
39_28_130_28_38,18.276761
39_135_47,18.276667
31_126_39,18.276443
39_167_130_132_39,18.276398
39_130_54,18.274334
39_100_33,18.2728
39_15_86_15_2,18.270484
32_130_39,18.269731
39_130_41_6_39,18.268311
39_34_36,18.266012
39_126_7,18.264685
39_130_127_130_27,18.264546
39_100_60,18.264136
39_28_86_16_68,18.263682
39_104_9,18.262783
54_130_39,18.262492
39_130_130_130_67,18.261583
39_78_130_78_39,18.261512
39_162_130_133_39,18.260965
39_104_66,18.260647
39_15_86_160_12,18.259237
39_14_130_78_39,18.258068
39_0_130_132_39,18.257483
65_113_39,18.255346
39_120_130_29_39,18.254411
39_59_127_3_39,18.254397
27_100_39,18.253739
39_104_33,18.253079
39_34_26,18.252865
39_167_130_77_39,18.252004
39_104_27,18.250364
39_100_27,18.250027
39_126_18,18.249461
39_83_36,18.249251
39_50_86_47_65,18.248915
39_130_47,18.24878
39_133_162_130_39,18.248603
39_113_62,18.248538
39_15_86_15_42,18.246894
39_130_4,18.244861
39_28_130_44_39,18.244565
39_156_86_6_9,18.242557
39_132_130_132_39,18.241843
39_130_32,18.241578
39_3_86_71_47,18.241452
52_126_39,18.239285
39_119_130_125_39,18.23841
39_133_91_130_39,18.238043
39_126_51,18.236798
39_130_108_3_39,18.236786
39_28_86_10_58,18.235382
39_109_130_125_39,18.235165
39_24_15,18.234792
39_135_11,18.234605
39_125_130_159_39,18.234547
15_83_39,18.232004
39_28_130_150_39,18.231887
39_126_53,18.231417
39_130_27,18.230118
39_159_127_3_39,18.229496
39_78_43_130_39,18.228359
39_80_127_3_39,18.228089
39_154_130_133_39,18.225244
