,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,sTDDFT_HOMO,sTDDFT_LUMO,sTDDFT_optbg,sTDDFT_max_abs,sTDDFT_total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins,sTDA-xTB_HOMO,sTDA-xTB_LUMO,sTDA-xTB_optbg,sTDA-xTB_max_abs,sTDDFT-xTB_HOMO,sTDDFT-xTB_LUMO,sTDDFT-xTB_optbg,sTDDFT-xTB_max_abs,GFN2_HOMO,GFN2_LUMO,xtb_vipea_HOMO,xtb_vipea_LUMO
2D-PBTCl,D,-5.45,-3.6,1.72,627.0,625.0,-6.71,-1.3,2.61,474.1,36.217,-6.71,-1.3,2.63,471.1,38.217,-13.118,-8.106,2.79,445.0,-13.118,-8.106,2.76,449.8,-9.6517,-8.5673,5.7628,2.9653
2D-PBTCl2,D,-5.43,-3.63,1.66,642.0,593.0,,,,,,,,,,,,,,,,,,,-9.6402,-8.6388,,
2FIFIC,A,-5.45,-3.97,1.38,817.0,750.0,-7.32,-2.23,2.2,562.6,12.533,-7.32,-2.23,2.25,552.2,17.367,-13.838,-9.186,2.46,504.8,-13.838,-9.186,2.39,518.3,-10.3109,-9.3307,4.9427,2.7631
2T2Se-F,A,-5.52,-3.83,1.31,806.0,694.0,-7.47,-2.29,2.2,564.8,8.35,-7.47,-2.29,2.22,558.1,8.483,-14.009,-9.318,2.37,523.4,-14.009,-9.318,2.32,533.9,-10.4507,-9.4929,5.6128,2.5634
2TC-TT-BDTFT,D,-5.45,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,
2T-TCC-BDTFT,D,-5.41,-3.53,,,,,,,,,,,,,,,,,,,,,,,,,
3BDT-4,D,-5.14,-3.44,1.83,606.0,522.0,,,,,,,,,,,,,,,,,,,-9.6783,-8.7117,,
3BDT-5,D,-5.15,-3.4,1.9,584.0,512.0,-6.86,-1.38,2.68,463.2,30.617,-6.86,-1.38,2.69,460.1,29.767,-13.445,-8.454,3.0,413.9,-13.445,-8.454,2.97,417.9,-9.6912,-8.6746,5.5958,2.924
3MT-Th,D,-5.42,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,
3TT-CIC,A,-5.24,-3.95,1.23,885.0,806.0,,,,,,,,,,,,,,,,,,,,,,
3TT-OCIC,A,-5.22,-3.91,1.29,860.0,809.0,-7.33,-2.33,2.05,605.7,23.033,-7.33,-2.33,2.07,597.5,23.133,-13.668,-9.156,2.31,536.1,-13.668,-9.156,2.27,545.4,-10.1792,-9.2957,5.0304,3.034
4T-1,A,-5.71,-4.09,1.47,704.0,600.0,-7.44,-2.09,2.44,508.9,10.483,-7.44,-2.09,2.47,502.9,8.517,-13.948,-9.195,2.51,494.8,-13.948,-9.195,2.46,504.3,-10.3137,-9.3832,5.2385,3.0128
4T-2,A,-5.85,-4.02,1.54,654.0,600.0,,,,,,,,,,,,,,,,,,,,,,
4T-3,A,-5.86,-3.98,1.52,667.0,599.0,,,,,,,,,,,,,,,,,,,,,,
4T-4,A,-5.85,-3.86,1.6,651.0,599.0,,,,,,,,,,,,,,,,,,,,,,
4TC-4F-C16,A,-5.53,-3.96,1.48,736.0,690.0,,,,,,,,,,,,,,,,,,,,,,
4TC-4F-C6C8,A,-5.59,-4.0,1.49,737.0,688.0,,,,,,,,,,,,,,,,,,,,,,
4TC-4F-C8C8,A,-5.6,-3.96,1.51,732.0,688.0,-7.26,-2.03,2.44,507.2,22.933,-7.26,-2.03,2.47,502.1,22.4,-13.928,-9.125,2.46,398.3,-13.928,-9.125,2.41,444.0,-9.9081,-9.2929,4.0074,2.2625
4TIC,A,-5.28,-3.87,1.4,,,,,,,,,,,,,,,,,,,,,,,,
5T-OFIC,A,-5.51,-3.86,1.34,826.0,784.0,-6.59,-2.89,0.44,628.8,43.533,-6.59,-2.89,0.55,617.0,29.483,-13.469,-9.724,0.81,524.0,-13.469,-9.724,0.74,528.1,-9.889,-9.7341,4.7257,2.8086
6-IF2F,A,-5.38,-4.07,1.25,889.0,809.0,-7.2,-2.26,2.1,590.5,16.817,-7.2,-2.26,2.14,579.8,16.45,-13.727,-9.069,2.38,522.1,-13.727,-9.069,2.32,534.1,-10.2594,-9.352,4.1506,2.4027
6-IF4F,A,-5.42,-4.14,1.22,916.0,816.0,-7.24,-2.36,2.04,608.2,16.5,-7.24,-2.36,2.08,596.1,16.283,-13.79,-9.156,2.35,527.8,-13.79,-9.156,2.29,541.0,-10.3782,-9.4673,4.5508,2.8069
6-IFIC,A,-5.34,-4.02,1.27,862.0,799.0,-7.12,-2.21,2.06,602.2,17.15,-7.12,-2.21,2.1,590.7,16.417,-13.64,-8.989,2.36,526.1,-13.64,-8.989,2.3,539.3,-10.1431,-9.1953,4.7281,2.9699
6TBA,A,-5.24,-3.78,,,,,,,,,,,,,,,,,,,,,,,,,
6TIC,A,-5.21,-3.83,1.37,,,,,,,,,,,,,,,,,,,,,,,,
6T-OFIC,A,-5.47,-3.89,1.31,839.0,792.0,-7.1,-2.14,2.16,575.1,22.883,-7.1,-2.14,2.18,569.3,30.933,-13.454,-9.11,2.31,535.9,-13.454,-9.11,2.26,548.4,-10.2262,-9.3283,4.5918,2.7549
A1,A,-5.66,-3.7,1.4,785.0,681.0,-6.92,-1.96,2.11,588.8,24.4,-6.92,-1.96,2.15,576.4,25.217,-13.372,-8.557,2.42,513.2,-13.372,-8.557,2.37,523.6,-9.9304,-9.1109,4.9202,2.85
A2,A,-5.7,-3.78,1.36,770.0,707.0,-7.25,-2.34,2.07,599.6,30.05,-7.25,-2.34,2.11,586.7,28.3,-13.523,-8.776,2.38,521.2,-13.523,-8.776,2.33,531.0,-10.1686,-9.3266,4.5545,2.7553
A4T-16,A,-5.67,-3.96,,,,,,,,,,,,,,,,,,,,,,,,,
A4T-21,A,-5.89,-3.92,,,,,,,,,,,,,,,,,,,,,,,,,
A4T-23,A,-5.63,-3.98,,,,,,,,,,,,,,,,,,,,,,,,,
A701,A,-5.61,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,
A702,A,-5.41,-3.74,,,,,,,,,,,,,,,,,,,,,,,,,
ABP4T-4F,A,-5.65,-3.85,1.37,782.0,720.0,-7.41,-2.21,2.4,517.4,10.25,-7.41,-2.21,2.43,510.7,11.217,-13.828,-9.096,2.54,487.1,-13.828,-9.096,2.49,497.2,-10.414,-9.3716,4.5011,2.5065
ACS8,A,-5.54,-4.05,,,,,,,,,,,,,,,,,,,,,,,,,
AFI3,A,-5.99,-3.52,,519.0,504.0,,,,,,,,,,,,,,,,,,,,,,
a-IT-2F,A,-5.67,-4.07,1.56,717.0,684.0,-7.41,-2.09,2.47,502.4,18.4,-7.41,-2.09,2.5,496.5,23.683,-14.016,-9.141,2.6,477.2,-14.016,-9.141,2.54,487.9,-10.3294,-9.2726,4.5955,2.2404
a-IT-2OM,A,-5.61,-3.92,1.63,695.0,671.0,-7.23,-1.89,2.49,498.8,17.917,-7.23,-1.89,2.51,493.0,19.317,-13.837,-8.957,2.59,479.0,-13.837,-8.957,2.54,488.7,-10.0678,-8.9763,4.3616,2.0566
AOIC,A,-5.5,-3.93,1.44,811.0,758.0,-7.1,-2.07,2.2,563.8,34.083,-7.1,-2.07,2.22,558.4,33.767,-13.664,-9.114,2.3,538.1,-13.664,-9.114,2.25,550.2,-10.2448,-9.3142,4.0978,2.2712
AOIC1,A,-5.53,-3.94,1.51,790.0,748.0,-6.24,-2.97,0.88,1416.4,38.8,-6.24,-2.97,1.22,1013.2,38.25,-13.307,-9.654,1.75,533.5,-13.307,-9.654,1.61,564.0,-9.937,-9.5506,4.2954,2.4155
AOIC2,A,-5.62,-3.83,1.54,782.0,741.0,-7.16,-2.04,2.23,555.1,30.55,-7.16,-2.04,2.26,548.9,41.0,-13.693,-9.114,2.32,533.9,-13.693,-9.114,2.27,547.3,-10.2538,-9.2855,4.377,2.5813
AOT1,A,-5.52,-3.88,1.46,773.0,708.0,-7.8,-2.07,2.6,476.3,11.317,-7.8,-2.07,2.63,471.6,8.117,-14.16,-9.119,2.46,504.9,-14.16,-9.119,2.4,515.8,-10.6025,-9.4406,5.2576,2.3497
AOT2,A,-5.39,-3.9,1.28,856.0,758.0,-7.32,-2.33,2.2,563.9,8.767,-7.32,-2.33,2.24,554.4,8.3,-13.859,-9.275,2.41,515.3,-13.859,-9.275,2.33,532.6,-10.3394,-9.4519,4.9484,2.2677
AOT3,A,-5.37,-3.95,1.22,938.0,810.0,-7.4,-2.23,2.24,554.1,8.4,-7.4,-2.23,2.27,545.6,8.35,-13.754,-9.199,2.24,553.0,-13.754,-9.199,2.17,570.7,-10.4453,-9.5067,4.476,2.2718
AQx,A,-5.59,-3.85,,,,,,,,,,,,,,,,,,,,,,,,,
AQx-2,A,-5.62,-3.88,,,,,,,,,,,,,,,,,,,,,,,,,
asy-PBDBTN,D,-5.41,-3.58,,,,,,,,,,,,,,,,,,,,,,-9.4892,-8.4194,,
AT-4Cl,A,-5.71,-3.89,1.6,709.0,691.0,-7.29,-1.99,2.45,506.2,21.8,-7.29,-1.99,2.49,498.3,21.717,-14.019,-9.029,2.44,507.8,-14.019,-9.029,2.38,445.7,-10.181,-9.168,4.236,2.3311
AT-NC,A,-5.44,-3.8,1.62,716.0,695.0,-7.12,-1.87,2.43,509.4,24.283,-7.12,-1.87,2.47,501.6,25.15,-13.961,-9.018,2.48,500.7,-13.961,-9.018,2.41,514.3,-9.9573,-8.9009,4.3292,2.3186
ATT-1,A,-5.5,-3.63,1.54,,,,,,,,,,,,,,,,,,,,,,,,
ATT-2,A,-5.5,-3.9,1.32,,,,,,,,,,,,,,,,,,,,,,,,
A-WSSe-Cl,A,-5.7,-3.86,1.31,840.0,758.0,-7.4,-2.22,2.39,517.8,11.883,-7.4,-2.22,2.42,512.1,11.95,-13.737,-9.023,2.52,492.0,-13.737,-9.023,2.47,502.2,-10.3522,-9.2798,6.3908,3.1545
AY6,A,-5.69,-4.06,1.39,789.0,717.0,-7.48,-2.25,2.39,519.7,13.967,-7.48,-2.25,2.42,511.3,19.05,-13.961,-9.152,2.56,484.6,-13.961,-9.152,2.5,495.4,-10.4362,-9.3982,4.761,2.5666
B1,D,-5.37,-3.51,,,,,,,,,,,,,,,,,,,,,,-9.7172,-8.7077,,
BCDT-4Cl,A,-5.47,-3.88,1.38,806.0,748.0,-7.36,-2.19,2.21,560.4,14.917,-7.36,-2.19,2.24,554.3,14.45,-13.674,-8.968,2.42,511.4,-13.674,-8.968,2.38,520.3,-10.2574,-9.2413,5.0702,2.9581
BCDT-4F,A,-5.46,-3.86,1.4,784.0,733.0,-7.14,-2.25,2.04,608.8,14.683,-7.14,-2.25,2.06,600.9,14.1,-13.657,-9.113,2.37,522.2,-13.657,-9.113,2.33,531.8,-10.2037,-9.3247,3.9423,2.0336
BCIC2F,A,-5.54,-3.87,1.45,695.0,713.0,,,,,,,,,,,,,,,,,,,,,,
BCPDT-1,A,-5.36,-3.85,1.36,824.0,707.0,,,,,,,,,,,,,,,,,,,,,,
BCPDT-2,A,-5.4,-3.79,1.39,792.0,720.0,-7.34,-2.2,2.22,558.8,15.167,-7.34,-2.2,2.24,553.2,15.0,-13.786,-9.096,2.43,509.7,-13.786,-9.096,2.39,519.0,-10.3517,-9.3511,,
BDCPDT-FIC,A,-5.52,-4.0,1.49,748.0,710.0,-7.4,-2.2,2.32,534.6,18.017,-7.4,-2.2,2.35,527.3,17.917,-13.93,-9.197,2.39,518.9,-13.93,-9.197,2.33,532.2,-10.4305,-9.4251,4.2469,2.3324
BDCPDT-IC,A,-5.41,-3.87,1.53,727.0,696.0,,,,,,,,,,,,,,,,,,,,,,
BDCPDT-TTC,A,-5.38,-3.78,1.58,700.0,671.0,-7.21,-1.93,2.46,503.9,18.65,-7.21,-1.93,2.49,498.5,31.517,-13.686,-8.855,2.4,460.1,-13.686,-8.855,2.38,470.6,-10.0935,-9.1033,5.5259,2.5679
BDDBO-4F,A,-5.56,-3.93,,,,,,,,,,,,,,,,,,,,,,,,,
BDDEH-4F,A,-5.57,-3.94,,,,,,,,,,,,,,,,,,,,,,,,,
BDIC2F,A,-5.55,-3.85,1.38,722.0,689.0,-7.35,-2.14,2.32,535.1,12.2,-7.35,-2.14,2.34,529.8,25.333,-13.846,-9.062,2.55,486.5,-13.846,-9.062,2.51,494.6,-10.3811,-9.3297,4.7357,2.8731
BDSePhCl,A,-5.61,-3.96,1.41,790.0,725.0,-7.36,-2.14,2.35,528.6,26.367,-7.36,-2.14,2.37,522.2,29.467,-13.829,-9.073,2.52,491.8,-13.829,-9.073,2.46,503.8,-10.2501,-9.221,5.3665,2.7233
BDSeThCl,A,-5.58,-3.82,1.55,706.0,685.0,-7.32,-1.98,2.41,515.2,18.25,-7.32,-1.98,2.44,509.1,20.5,-13.747,-8.845,2.58,480.9,-13.747,-8.845,2.53,490.6,-10.2084,-9.1583,4.8948,2.5948
BDT-2DPP,D,-5.23,-3.46,,626.0,,,,,,,,,,,,,,,,,,,,-9.6501,-8.6379,,
BDT3TR,D,-5.1,-3.28,,,,,,,,,,,,,,,,,,,,,,-9.6451,-8.7398,,
BDTC-4Cl,A,-5.35,-3.75,,,,,,,,,,,,,,,,,,,,,,,,,
BDT-IC,A,-5.51,-3.9,1.53,739.0,,,,,,,,,,,,,,,,,,,,,,,
BDTIT-M,A,-5.4,-3.85,1.55,730.0,700.0,-7.23,-1.93,2.41,515.1,17.9,-7.23,-1.93,2.44,509.1,25.733,-13.783,-8.967,2.54,489.2,-13.783,-8.967,2.48,499.9,-10.1044,-9.0009,5.0524,2.123
BDTN-BF,A,-5.58,-3.73,1.41,792.0,740.0,-7.26,-2.1,2.38,519.9,20.717,-7.26,-2.1,2.42,511.4,13.667,-13.607,-9.045,2.39,519.0,-13.607,-9.045,2.34,529.7,-10.2297,-9.3521,,
BDTN-Th,A,-5.5,-3.62,1.41,792.0,740.0,-7.16,-1.99,2.44,507.1,14.867,-7.16,-1.99,2.49,497.3,8.317,-13.466,-8.76,2.47,438.2,-13.466,-8.76,2.4,447.0,-9.943,-9.0222,4.5802,2.1965
BDTP-4F,A,-5.61,-3.9,1.36,820.0,750.0,-7.3,-2.17,2.34,530.0,10.933,-7.3,-2.17,2.37,522.6,9.4,-13.809,-9.084,2.55,486.6,-13.809,-9.084,2.49,497.1,-10.3395,-9.3006,4.3108,2.3183
BDTS-2DPP,D,-5.28,-3.49,,624.0,,,,,,,,,,,,,,,,,,,,-9.6194,-8.6911,,
BDTS-4Cl,A,-5.45,-3.82,,,,,,,,,,,,,,,,,,,,,,,,,
BDTThIT-M,A,-5.35,-3.82,1.53,738.0,710.0,-7.14,-1.91,2.39,518.9,28.0,-7.14,-1.91,2.42,512.6,27.9,-13.662,-8.926,2.55,486.6,-13.662,-8.926,2.49,497.5,-9.995,-8.9627,4.3722,2.502
BFC-4F,A,-5.54,-3.82,1.45,,727.0,,,,,,,,,,,,,,,,,,,,,,
BIBT-NI,A,-5.62,-3.65,,503.0,,,,,,,,,,,,,,,,,,,,,,,
BID-4F,A,-5.69,-3.73,1.53,749.0,,,,,,,,,,,,,,,,,,,,,,,
BisPDI-T-di-EG,A,-5.57,-3.84,,545.0,560.0,-7.55,-2.1,2.46,477.6,18.3,-7.55,-2.1,2.54,457.3,23.267,-14.179,-9.315,2.45,472.5,-14.179,-9.315,2.37,498.8,-10.46,-9.3685,4.658,2.4108
BN-0F,A,-5.35,-3.94,1.41,801.0,759.0,-7.13,-1.94,2.32,535.2,14.85,-7.13,-1.94,2.35,528.1,14.9,-13.683,-8.944,2.49,497.2,-13.683,-8.944,2.44,508.9,-9.9738,-8.9335,4.1033,2.0457
BN-2F,A,-5.39,-3.99,1.4,808.0,764.0,-7.07,-2.02,2.19,565.4,14.45,-7.07,-2.02,2.22,557.7,14.317,-13.65,-9.015,2.42,512.7,-13.65,-9.015,2.37,523.6,-10.0057,-9.0364,,
BN-4F,A,-5.44,-4.06,1.38,816.0,768.0,-7.13,-2.03,2.25,550.6,15.233,-7.13,-2.03,2.28,543.4,15.283,-13.707,-9.042,2.44,508.5,-13.707,-9.042,2.38,519.9,-10.1065,-9.1285,4.3351,2.4725
BO2FC8,D,-5.5,-3.6,,,,,,,,,,,,,,,,,,,,,,-9.6106,-8.6823,,
BO2FEH,D,-5.59,-3.59,,,,,,,,,,,,,,,,,,,,,,,,,
BO2FIDT-4Cl,A,-5.73,-3.89,1.59,708.0,693.0,-7.21,-2.03,2.35,527.4,45.283,-7.21,-2.03,2.36,524.4,45.283,-13.899,-9.201,2.29,541.8,-13.899,-9.201,2.25,550.6,-10.1823,-9.2063,4.0738,2.6325
BO-4Cl,A,-5.68,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,
BO-4F,A,-5.7,-4.01,1.4,811.0,733.0,,,,,,,,,,,,,,,,,,,,,,
BOC-4F,A,-5.4,-3.78,1.42,,755.0,,,,,,,,,,,,,,,,,,,,,,
BP4T-4F,A,-5.71,-3.91,1.33,826.0,732.0,,,,,,,,,,,,,,,,,,,,,,
BP5T-4F,A,-5.63,-3.88,1.34,813.0,735.0,-7.29,-2.09,2.41,514.4,10.183,-7.29,-2.09,2.43,509.9,10.15,-13.6,-9.059,2.46,503.0,-13.6,-9.059,2.42,512.7,-10.3571,-9.3498,4.5148,2.433
B-PDI-B,A,-5.57,-3.95,,,,,,,,,,,,,,,,,,,,,,,,,
BPF-4F,A,-5.58,-3.98,1.36,,742.0,,,,,,,,,,,,,,,,,,,,,,
BPS-4F,A,-5.54,-4.0,1.29,,749.0,,,,,,,,,,,,,,,,,,,,,,
BPT-4F,A,-5.59,-4.0,1.36,,727.0,,,,,,,,,,,,,,,,,,,,,,
BPTCN,A,-5.38,-3.66,,569.0,,,,,,,,,,,,,,,,,,,,,,,
Br-ITIC,A,-5.73,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,
BSCl-C1,D,-5.59,-3.34,1.87,533.5,506.5,,,,,,,,,,,,,,,,,,,,,,
BSCl-C2,D,-5.58,-3.39,1.82,566.8,506.5,-6.97,-1.48,2.58,480.1,14.75,-6.97,-1.48,2.6,477.4,14.75,-13.391,-8.43,2.75,450.3,-13.391,-8.43,2.73,455.0,-9.8863,-8.8988,6.0468,3.0678
BSCl-C3,D,-5.55,-3.37,1.84,569.7,506.0,,,,,,,,,,,,,,,,,,,,,,
BSFTR,D,-5.59,-3.61,,,,,,,,,,,,,,,,,,,,,,-9.7635,-8.7075,,
BT2,A,-5.5,-3.53,1.82,619.0,605.0,,,,,,,,,,,,,,,,,,,,,,
BT2b,A,-5.41,-3.56,1.75,646.0,621.0,-7.03,-1.8,2.3,538.7,8.95,-7.03,-1.8,2.34,529.9,8.933,-13.561,-8.59,2.62,472.4,-13.561,-8.59,2.59,479.2,-9.9823,-8.9746,4.7281,2.7356
BT2F-IC4F,A,-5.98,-4.31,1.38,703.0,724.0,-7.36,-2.45,2.03,610.1,10.767,-7.36,-2.45,2.06,601.9,10.767,-13.831,-9.226,2.4,517.7,-13.831,-9.226,2.36,526.3,-10.4464,-9.5539,4.867,2.9372
BT2FIDT-4Cl,A,-5.7,-3.88,1.56,722.0,695.0,-7.1,-1.97,2.34,529.9,46.117,-7.1,-1.97,2.36,526.1,46.117,-13.685,-8.966,2.5,442.3,-13.685,-8.966,2.46,450.8,-10.0606,-9.1321,4.1939,2.7175
BT3,A,-5.26,-3.66,1.59,674.0,657.0,-7.16,-2.09,2.22,558.9,18.65,-7.16,-2.09,2.25,550.7,18.7,-13.675,-8.836,2.52,492.6,-13.675,-8.836,2.49,498.7,-10.0727,-9.1392,5.5086,3.1949
BT6IC-HD-4Cl,A,-5.57,-4.1,1.35,828.0,746.0,,,,,,,,,,,,,,,,,,,,,,
BTA1,A,-5.49,-3.57,1.85,610.0,593.0,-6.84,-1.43,2.48,500.2,18.5,-6.84,-1.43,2.5,495.9,18.4,-13.684,-8.632,2.66,466.6,-13.684,-8.632,2.63,471.1,-9.7947,-8.7042,5.6999,2.7404
BTA100,A,-5.32,-3.23,2.05,564.0,556.0,-6.56,-1.06,2.58,481.2,32.5,-6.56,-1.06,2.6,477.3,23.15,-13.296,-8.191,2.7,459.3,-13.296,-8.191,2.67,464.4,-9.5391,-8.4337,3.9701,1.7801
BTA101,A,-5.41,-3.55,1.88,606.0,593.0,-6.7,-1.3,2.51,494.8,23.35,-6.7,-1.3,2.53,491.0,29.683,-13.486,-8.443,2.65,467.1,-13.486,-8.443,2.63,471.7,-9.6476,-8.6357,4.4973,2.1602
BTA103,A,-5.37,-3.64,1.77,627.0,617.0,-6.96,-1.63,2.44,509.0,27.05,-6.96,-1.63,2.45,505.0,34.3,-13.585,-8.624,2.59,478.5,-13.585,-8.624,2.57,483.0,-9.8756,-8.8149,4.418,2.376
BTA11,A,-5.29,-3.53,,,,,,,,,,,,,,,,,,,,,,,,,
BTA13,A,-5.34,-3.62,,,,,,,,,,,,,,,,,,,,,,,,,
BTA17,A,-5.41,-3.69,,,,,,,,,,,,,,,,,,,,,,,,,
BTA2,A,-5.43,-3.38,2.0,573.0,558.0,-6.82,-1.33,2.5,495.2,17.817,-6.82,-1.33,2.53,490.3,29.8,-13.629,-8.542,2.7,459.3,-13.629,-8.542,2.67,464.9,-9.7787,-8.6146,5.0174,2.8791
BTA3,A,-5.49,-3.72,1.76,636.0,613.0,-7.04,-1.73,2.41,515.2,23.15,-7.04,-1.73,2.43,510.4,24.467,-13.753,-8.793,2.58,479.8,-13.753,-8.793,2.56,484.1,-9.9221,-8.8584,4.442,2.5146
BTA4,A,-5.5,-3.65,,,,,,,,,,,,,,,,,,,,,,,,,
BTA43,A,-5.44,-3.47,1.78,644.0,600.0,-6.99,-1.74,2.36,524.7,23.55,-6.99,-1.74,2.39,519.3,33.283,-13.692,-8.785,2.56,483.7,-13.692,-8.785,2.54,488.4,-9.9071,-8.8611,4.7194,2.3072
BTA5,A,-5.55,-3.71,,,,,,,,,,,,,,,,,,,,,,,,,
BTA53,A,-5.48,-3.58,1.68,690.0,607.0,-7.04,-1.77,2.4,516.7,22.867,-7.04,-1.77,2.42,511.5,22.833,-13.605,-8.821,2.52,492.0,-13.605,-8.821,2.5,496.6,-9.846,-8.8973,5.059,2.3947
BTA7,A,-5.56,-3.66,,,,,,,,,,,,,,,,,,,,,,,,,
BT-BIC,A,-5.46,-3.73,1.52,748.0,688.0,-7.15,-1.91,2.41,515.5,12.833,-7.15,-1.91,2.43,510.7,13.35,-13.577,-8.961,2.52,492.7,-13.577,-8.961,2.47,501.3,-10.0806,-8.9835,3.9029,1.5184
BT-BO-L4F,A,-5.58,-3.98,1.32,837.0,762.0,-7.31,-2.2,2.31,536.7,13.45,-7.31,-2.2,2.34,530.3,13.5,-13.733,-9.122,2.37,522.2,-13.733,-9.122,2.31,535.7,-10.3555,-9.3135,4.6119,2.3658
BTC6-0F,A,-5.47,-3.71,1.48,685.0,711.0,-7.15,-2.06,2.18,569.0,17.217,-7.15,-2.06,2.2,562.5,17.167,-13.737,-9.037,2.43,510.9,-13.737,-9.037,2.39,519.3,-10.1019,-9.0814,3.591,1.787
BTC6-2F,A,-5.52,-3.8,1.44,700.0,720.0,-7.22,-2.17,2.17,572.1,13.267,-7.22,-2.17,2.19,565.3,17.267,-13.805,-9.131,2.42,511.2,-13.805,-9.131,2.39,519.7,-10.2258,-9.2295,4.0203,2.119
BTC6-4F,A,-5.56,-3.86,1.43,781.0,724.0,-7.26,-2.25,2.14,579.1,13.217,-7.26,-2.25,2.17,571.5,11.867,-13.86,-9.213,2.42,511.8,-13.86,-9.213,2.38,520.9,-10.33,-9.3646,,
BTCIC,A,-5.53,-4.0,1.36,723.0,734.0,-7.17,-2.21,2.02,615.1,10.983,-7.17,-2.21,2.05,604.9,11.217,-13.666,-9.027,2.4,516.6,-13.666,-9.027,2.36,524.8,-10.1087,-9.1647,4.5294,2.2392
BT-CIC,A,-5.49,-4.09,,,,,,,,,,,,,,,,,,,,,,,,,
BTCIC-4Cl,A,-5.64,-4.12,1.31,748.0,756.0,-7.25,-2.38,1.97,628.1,11.633,-7.25,-2.38,2.01,617.1,11.983,-13.662,-9.088,2.39,519.2,-13.662,-9.088,2.34,528.8,-10.1959,-9.2934,6.1397,3.4052
BT-Cl,A,-5.42,-3.71,1.31,842.0,759.0,,,,,,,,,,,,,,,,,,,,,,
BTCPDT,A,-5.54,-3.95,1.34,815.0,744.0,,,,,,,,,,,,,,,,,,,,,,
BTCPDTF,A,-5.64,-3.92,1.44,781.0,724.0,,,,,,,,,,,,,,,,,,,,,,
BTCPDTO4,A,-5.52,-3.9,1.38,795.0,752.0,,,,,,,,,,,,,,,,,,,,,,
BTCT-2Cl,A,-5.56,-3.95,,,,,,,,,,,,,,,,,,,,,,,,,
