,smi_filename,smiles,sTDDFTxtb_HOMO,B3LYP_HOMO,A_or_D
0,100_C,c1cc2C(CC)(CC)c3c(-c2cc1)ccc(c3),-15.072,-6.471064,D
1,101_C,c1cc2C(=O)NC(=O)c3cc(cc(c1)c23),-15.743,-6.965591,A
2,102_C,c1sc2c3c4nn(CC)nc4c4c5sc(cc5n(CC)c4c3n(c2c1)CC),-13.358,-5.207846,D
3,103_C,c1c(F)c(F)c(c2nc(c3cc(c(OCC)c(c3)F)F)c(nc12)c1cc(F)c(OCC)c(F)c1),-15.108,-6.497596,D
4,105_C,c1cc2n(CC)c3c(c2cc1)ccc(c3),-14.178,-5.812186,D
5,108_C,c1cc2sc3-c4c(C(CC)(CC)c3c2s1)cc1-c2c(C(c1c4)(CC)CC)c1c(s2)cc(s1),-13.36,-5.20932,D
6,110_C,c1c(CC)c2sc3c4c5c(nsn5)c5c6sc7c(CC)c([se]c7c6n(c5c4n(c3c2[se]1)CC)CC),-13.013,-4.953581,D
7,112_C,c1c(C#N)c(C#N)c(c2c1nsn2),-16.359,-7.419583,A
8,113_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1sc(cc61),-13.396,-5.235852,D
9,114_C,c1sc2-c3c(OC(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c4sc(cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)Oc2c1s3),-12.881,-4.856297,D
10,115_C,c1cc2c(CC)c3c(c(CC)c2s1)cc(s3),-13.935,-5.633095,D
11,116_C,c1cc2sc3-c4c(C(Oc3c2s1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c3c(OC(c5ccc(CC)cc5)(c5ccc(CC)cc5)c2c1s4)c1c(s3)cc(s1),-12.655,-4.689735,D
12,117_C,c1sc2-c3c4c(cccc4C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1cc2-c4c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c5cccc(c1c3)c25)cc(s4),-13.702,-5.461374,D
13,118_C,c1sc2c3c(n(CC)c2c1)cc(s3),-13.529,-5.333873,D
14,119_C,C1=C2C(C(=O)N1CC)=C(N(CC)C2=O),-14.366,-5.950742,D
15,11_C,c1cc2sc3-c4c(C(c3c2s1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c3c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c2c1s4)c1c(s3)cc(s1),-12.762,-4.768594,D
16,120_C,c1cc2[Si](CC)(CC)c3c(-c2cc1)ccc(c3),-15.081,-6.477697,D
17,121_C,c1cc(CC)c(cc1CC),-15.635,-6.885995,A
18,122_C,c1cc2c(OCC)c3c(c(OCC)c2s1)cc(s3),-13.538,-5.340506,D
19,123_C,c1cnc(s1),-15.508,-6.792396,A
20,124_C,c1c(F)cc(c(F)c1),-16.203,-7.304611,A
21,125_C,c1c(F)c(F)c(s1),-15.428,-6.733436,A
22,126_C,c1c(CC)c2c(s1)cc(s2),-14.181,-5.814397,D
23,128_C,c1cc2C(=O)c3c(-c2cc1)ccc(c3),-15.432,-6.736384,A
24,129_C,c1sc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc1c2cc4c(cc2n(CC)c1c3)-c1sc(cc1C4(c1ccc(CC)cc1)c1ccc(CC)cc1),-13.759,-5.503383,D
25,130_C,c1ccc(o1),-15.123,-6.508651,D
26,131_C,c1sc2-c3c([Ge](CC)(CC)c2c1)cc(s3),-13.571,-5.364827,D
27,132_C,c1cc2C(CC)(CC)c3c(-c2s1)c1ccc2C(CC)(CC)c4cc(sc4-c2c1cc3),-13.663,-5.432631,D
28,133_C,c1sc2-c3c4c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)ccc1c2c5c6c(n(c(c3)c6c41)CC)cc1-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c(c51)cc2)cc(s3),-13.309,-5.171733,D
29,134_C,c1sc2-c3c(OC(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc(s3),-13.406,-5.243222,D
30,135_C,c1sc2-c3c([Si](c2c1)(CC)CC)cc1c2c(n(CC)c1c3)cc1-c3c([Si](c1c2)(CC)CC)cc(s3),-13.756,-5.501172,D
31,136_C,c1cc2sc3-c4c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c3c2s1)cc1c2cc3c(cc2n(CC)c1c4)-c1sc2cc(sc2c1C3(c1ccc(CC)cc1)c1ccc(CC)cc1),-13.458,-5.281546,D
32,137_C,c1cc(F)c(c2c1nsn2),-15.656,-6.901472,A
33,138_C,c1sc2cc3cc(sc3cc2c1),-14.141,-5.784917,D
34,139_C,c1ccc([se]1),-14.96,-6.38852,D
35,13_C,c1c2c(nsn2)c(c2cc(C(=O)OCC)sc12),-14.437,-6.003069,D
36,140_C,c1c(CC)c2sc3-c4c(C(c3c2s1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c3c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c2c1s4)c1c(s3)c(CC)c(s1),-12.713,-4.732481,D
37,141_C,c1c(CC)c2sc3-c4c(C(c3c2s1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c3c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c2c1s4)c(CC)c(s3),-12.765,-4.770805,D
38,143_C,c1cc2sc3-c4sc5-c6cc7C(c8ccc(CC)cc8)(c8ccc(CC)cc8)c8c(-c7cc6C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c5c4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc(c8),-13.056,-4.985272,D
39,144_C,c1cc2c(c3ccc([Si](CC)(CC)CC)s3)c3c(c(c4ccc([Si](CC)(CC)CC)s4)c2s1)cc(s3),-13.553,-5.351561,D
40,145_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1-c2c(C(c61)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc(s2),-13.138,-5.045706,D
41,146_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1s3)sc(c6),-13.071,-4.996327,D
42,147_C,c1cc(OCC)c(s1),-14.225,-5.846825,D
43,148_C,c1c(OCC)c(OCC)c(s1),-14.034,-5.706058,D
44,149_C,c1sc2-c3c(C(c2c1)(c1ccc(OCC)cc1)c1ccc(OCC)cc1)c1cc2ccc4-c5c(C(c6ccc(OCC)cc6)(c6ccc(OCC)cc6)c4c2cc1cc3)cc(s5),-13.555,-5.353035,D
45,14_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c3)sc(c2),-13.761,-5.504857,D
46,150_C,c1sc2-c3c(C(c2c1C)(c1ccc(CC)cc1)c1ccc(CC)cc1C)c1cc2sc4-c5c(C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c4c2cc1s3)cc(s5),-13.181,-5.077397,D
47,152_C,c1sc2c3sc4c(OCC)c5c(c(OCC)c4c3n(c2c1)CC)sc1c2sc(cc2n(CC)c51),-12.964,-4.917468,D
48,153_C,c1sc2c3sc4c5c6c(nsn6)c6c7sc(c(CC)c7n(c6c5n(c4c3n(c2c1)CC)CC)CC),-12.916,-4.882092,D
49,155_C,c1sc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1cccc(CC)c1)cc(s2),-13.76,-5.50412,D
50,156_C,c1c(F)c(F)c(c2c1non2),-16.552,-7.561824,A
51,157_C,c1c(CC)c2sc3c4c5c(nsn5)c5c6sc7c8sc(c(CC)c8sc7c6n(c5c4n(c3c2s1)CC)CC),-12.961,-4.915257,D
52,158_C,c1cc2C(c3ccc(OCC)cc3)(c3ccc(OCC)cc3)c3c(-c2s1)cc1C(c2ccc(OCC)cc2)(c2ccc(OCC)cc2)c2c(-c1c3)sc(c2),-13.662,-5.431894,D
53,15_C,c1c(c2c(cc(CC)cc2CC)CC)cc(s1),-14.863,-6.317031,D
54,160_C,c1sc2c3sc4c5c6c(nsn6)c6c7sc8c(CC)c(sc8c7n(c6c5n(c4c3n(c2c1)CC)CC)CC),-12.856,-4.837872,D
55,164_C,c1c(N(c2ccc(C)cc2)c2ccc(C)cc2)c2sc(c(N(c3ccc(C)cc3)c3ccc(C)cc3)c2s1),-12.991,-4.937367,D
56,165_C,c1ccc(cc1),-16.165,-7.276605,A
57,166_C,c1sc2-c3c(C(c2c1)(CC)CC)cc1-c2c(C(CC)(CC)c1c3)cc1-c3c(C(c1c2)(CC)CC)cc(s3),-13.745,-5.493065,D
58,168_C,c1c2nn(CC)nc2c(c(c1)F),-15.715,-6.944955,A
59,169_C,c1cc2C3N=CC=NC3c3c(-c2s1)sc(c3),-13.763,-5.506331,D
60,16_C,c1cc(C(=O)OCC)c(s1),-15.23,-6.58751,A
61,173_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)sc1c3sc2c(c3ccc(CC)s3)c3c(c(c4ccc(CC)s4)c12)sc1c2c(sc31)-c1sc(cc1C2(c1ccc(CC)cc1)c1ccc(CC)cc1),-12.998,-4.942526,D
62,174_C,c1cc2sc3-c4c(C(c3c2s1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(c2ccc(CC)s2)c2sc3-c5c(C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c3c2c(c1s4)c1ccc(CC)s1)c1c(s5)cc(s1),-13.004,-4.946948,D
63,176_C,c1c(F)c2c3c(nsn3)c(c(F)c2c2c1nsn2),-15.203,-6.567611,A
64,177_C,c1sc2-c3c(OC(CC)(CC)c2c1)cc1-c2c(C(c1c3)(CC)CC)cc1-c3c(C(Oc1c2)(CC)CC)cc(s3),-13.655,-5.426735,D
65,178_C,c1cc(OCC)c(cc1F),-15.077,-6.474749,D
66,179_C,c1sc2-c3c(C(c2c1)(CC)CC)c1sc2-c4c(C(c2c1s3)(CC)CC)c1sc2-c3c(C(CC)(CC)c2c1s4)cc(s3),-12.594,-4.644778,D
67,17_C,c1c2nn(CC)nc2c(c(c1F)F),-15.919,-7.095303,A
68,180_C,c1c(N(c2ccccc2)c2ccccc2)c2sc(c(N(c3ccccc3)c3ccccc3)c2s1),-13.119,-5.031703,D
69,181_C,c1c(OCC)c2sc3c4c5c(nsn5)c5c6sc7c(OCC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-12.972,-4.923364,D
70,182_C,c1c(OC)c(F)c(c(OC)c1F),-14.544,-6.081928,D
71,183_C,c1sc2c3c(oc(=O)c2c1)cc(s3),-14.258,-5.871146,D
72,184_C,c1ccc2C3=C(C(CC)(CC)c2c1)c1c(C3(CC)CC)cc(cc1),-14.265,-5.876305,D
73,185_C,c1cc(OC)c(s1),-14.164,-5.801868,D
74,186_C,c1cc2C(CC)(CC)c3c4C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c5c(-c4sc3-c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c5)sc1-c3c(C(c21)(CC)CC)cc(s3),-12.953,-4.909361,D
75,187_C,c1cc(Cl)c(s1),-15.13,-6.51381,D
76,188_C,c1ccc2n(CC)c3c(c2c1)cc1c(c3)c2cc(ccc2n1CC),-13.46,-5.28302,D
77,189_C,c1sc2c3c(c4c(sc(c5ccc(CC)s5)c4c2c1)c1ccc(CC)s1)cc(s3),-13.151,-5.055287,D
78,18_C,c1cc(c2ccccc2)c(s1),-14.725,-6.215325,D
79,190_C,c1cc2c(OCC)c3sc4-c5c(C(c4c3c(c2s1)OCC)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc1-c2c(C(c1c5)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(OCC)c3c(c(OCC)c1s2)cc(s3),-13.051,-4.981587,D
80,191_C,c1cc2c(c3ccc(CC)s3)c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3c(c2s1)c1ccc(CC)s1)sc1c(c2ccc(CC)s2)c2cc(sc2c(c2ccc(CC)s2)c71),-13.447,-5.273439,D
81,192_C,c1oc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc(o2),-13.867,-5.582979,D
82,193_C,c1ccc2C(CC)(CC)c3c(-c2c1)cc1c(c3)-c2cc(ccc2C1(CC)CC),-14.624,-6.140888,D
83,195_C,c1sc2c3c(cc(c4ccc(CC)s4)c2c1)c1cc(sc1c(c1ccc(CC)s1)c3),-13.806,-5.538022,D
84,196_C,c1c2nc(c3ccc(OCC)c(c3)OCC)c(c3ccc(OCC)c(OCC)c3)nc2c(c(c1F)F),-14.264,-5.875568,D
85,197_C,c1c(F)c(F)c(c(F)c1F),-16.355,-7.416635,A
86,198_C,c1cc2c(c3ccc(C=Cc4ccc(CC)s4)s3)c3c(c(c4ccc(C=Cc5ccc(CC)s5)s4)c2s1)cc(s3),-13.43,-5.26091,D
87,199_C,c1c(F)cc(cc1),-16.192,-7.296504,A
88,19_C,c1cc(c2c(cc(C)cc2C)C)c(s1),-14.883,-6.331771,D
89,200_C,c1cc(C(=O)OC)c(s1),-15.253,-6.604461,A
90,201_C,c1c(c2ccc(CC)s2)cc(s1),-13.935,-5.633095,D
91,202_C,c1cc2c(c3ccc(C=Cc4ccc(SCC)s4)s3)c3c(c(c4ccc(C=Cc5ccc(SCC)s5)s4)c2s1)cc(s3),-13.433,-5.263121,D
92,203_C,c1cc2sc3c(c4ccc(CC)s4)c4c(c(c5ccc(CC)s5)c3c2s1)sc1cc(sc41),-13.495,-5.308815,D
93,204_C,c1cc2c(c3cc(Cl)c(SCC)s3)c3c(c(c4sc(SCC)c(c4)Cl)c2s1)cc(s3),-13.551,-5.350087,D
94,205_C,c1cc(CC)c([se]1),-14.815,-6.281655,D
95,206_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2[se]1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c3)sc(c2),-13.76,-5.50412,D
96,207_C,c1cc(SCC)c(s1),-14.254,-5.868198,D
97,20_C,c1cc2c(c3cc(CC)c(CC)s3)c3c(c(c4cc(CC)c(s4)CC)c2s1)cc(s3),-13.542,-5.343454,D
98,210_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc(c6),-13.538,-5.340506,D
99,214_C,c1sc(c2c1OCCO2),-14.318,-5.915366,D
100,215_C,c1[se]c2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c1s2)[se]c(c6),-13.206,-5.095822,D
101,216_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c1s2)sc(c6),-13.217,-5.103929,D
102,217_C,c1c(OCC)c2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(OCC)c(sc2-c1c3),-13.541,-5.342717,D
103,219_C,c1cc2C(CC)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(CC)c2c(-c1c3)sc(c2),-13.716,-5.471692,D
104,21_C,c1c(CC)c2sc3c4c5c(nsn5)c5c6sc7c(CC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-13.039,-4.972743,D
105,220_C,c1sc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(s2)c2sc(cc2n1CC),-13.159,-5.061183,D
106,221_C,c1sc(c2c1OCCCO2),-14.185,-5.817345,D
107,224_C,c1cc2c(c3ccc(CC)cc3)c3c(c(c4ccc(CC)cc4)c2s1)cc(s3),-13.912,-5.616144,D
108,225_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(C)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1cc(sc61),-13.392,-5.232904,D
109,227_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(CC)c6c(-c5cc4C(CC)(c4ccc(CC)cc4)c3c2s1)sc1cc(sc61),-13.372,-5.218164,D
110,228_C,c1cc2sc3-c4cc5C(c6ccc(OCC)cc6)(c6ccc(OCC)cc6)c6c(-c5cc4C(c4ccc(OCC)cc4)(c4ccc(OCC)cc4)c3c2s1)sc1cc(sc61),-13.33,-5.18721,D
111,229_C,c1cc2sc3-c4cc5C(c6ccccc6)(c6ccccc6)c6c(-c5cc4C(c4ccccc4)(c4ccccc4)c3c2s1)sc1c2c(n(CC)c61)cc(s2),-13.127,-5.037599,D
112,22_C,c1c(CC)c2sc3c4c5c(nn(CC)n5)c5c6sc7c(CC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-13.045,-4.977165,D
113,230_C,c1sc2-c3c(C(CC)(CC)c2c1)cc1cc2-c4c(C(c2cc1c3)(CC)CC)cc(s4),-13.847,-5.568239,D
114,233_C,c1cc2sc3c4C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c5c(-c4sc3c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c5)sc1c2sc2cc(sc12),-13.177,-5.074449,D
115,236_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)CC)sc1c2sc(cc2n(CC)c71),-12.925,-4.888725,D
116,237_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(CC)cc2c4sc5-c6c(C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c5c4c(CC)cc2c1s3)cc(s6),-13.343,-5.196791,D
117,238_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)sc1c2c(cc(OCC)c31)c1c(c(c2)OCC)c2c(s1)-c1sc(cc1C2(c1ccc(CC)cc1)c1ccc(CC)cc1),-13.167,-5.067079,D
118,239_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c3)sc1c3c(n(c4ccc(CC)cc4)c21)cc(s3),-13.188,-5.082556,D
119,240_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)c1ccc(CC)s1)sc(c7),-13.206,-5.095822,D
120,241_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)c1cc2sc(CC)cc2s1)sc(c7),-13.22,-5.10614,D
121,242_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)CC)sc1cc(sc71),-13.106,-5.022122,D
122,243_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)CC)sc1c7sc2cc(sc12),-13.046,-4.977902,D
123,244_C,c1cc2c(c3cc(F)c(SCC)s3)c3c(c(c4sc(SCC)c(c4)F)c2s1)cc(s3),-13.521,-5.327977,D
124,245_C,c1cc2c(c3sc(CC)c(Cl)c3Cl)c3c(c(c4ccc(CC)s4)c2s1)cc(s3),-13.727,-5.479799,D
125,246_C,c1cc2sc3c(c4sc(CC)c(Cl)c4Cl)c4c(c(c5sc(CC)c(c5Cl)Cl)c3c2s1)sc1cc(sc41),-13.658,-5.428946,D
126,247_C,c1c2nn(CC)nc2c(c(c1Cl)Cl),-15.727,-6.953799,A
127,248_C,c1cc2c(c3ccc(OCC)cc3)c3c(c(c4ccc(OCC)cc4)c2s1)cc(s3),-13.764,-5.507068,D
128,249_C,c1cc2c(c3sc(CC)c(F)c3F)c3c(c(c4sc(CC)c(c4F)F)c2s1)cc(s3),-13.864,-5.580768,D
129,250_C,c1nnc(c2C(=O)N(CC)C(=O)c12),-16.226,-7.321562,A
130,251_C,c1cc2sc3c(c4sc(CC)c(F)c4F)c4c(c(c5sc(CC)c(c5F)F)c3c2s1)sc1cc(sc41),-13.659,-5.429683,D
131,252_C,c1cc2c(c3sc(CC)c(Cl)c3Cl)c3c(c(c4sc(CC)c(c4Cl)Cl)c2s1)cc(s3),-13.903,-5.609511,D
132,253_C,c1cc2sc3c(c4cc(F)c(CC)s4)c4c(c(c5sc(CC)c(c5)F)c3c2s1)sc1cc(sc41),-13.652,-5.424524,D
133,254_C,c1sc2c3c(c4c(cc5n(c(=O)n(CC)c5c4)CC)c2c1)cc(s3),-13.92,-5.62204,D
134,255_C,c1cc2c(c3cc(Cl)c(CC)s3)c3c(c(c4ccc(CC)s4)c2s1)cc(s3),-13.653,-5.425261,D
135,256_C,c1cc(C(=O)CC)c(s1),-15.332,-6.662684,A
136,257_C,c1cc2c(c3cc(F)c(CC)s3)c3c(c(c4sc(CCC)c(c4)F)c2s1)cc(s3),-13.757,-5.501909,D
137,258_C,c1cc2c(c3cc(F)c(OCC)c(F)c3)c3c(c(c4cc(c(OCC)c(c4)F)F)c2s1)cc(s3),-14.045,-5.714165,D
138,261_C,c1cc(C(=O)O)c(s1),-15.278,-6.622886,A
139,262_C,c1sc2cc(sc2c1),-14.287,-5.892519,D
140,263_C,c1cc2c(c3cc(Cl)c([Si](CC)(CC)CC)s3)c3c(c(c4sc([Si](CC)(CC)CC)c(c4)Cl)c2s1)cc(s3),-13.685,-5.448845,D
141,264_C,c1nc2c(c3ccc(CC)s3)c3c(c(c4ccc(CC)s4)c2s1)nc(s3),-13.607,-5.391359,D
142,265_C,c1cc2c(c3c1nn(CC)n3)cc(c1nn(CC)nc21),-15.106,-6.496122,D
143,266_C,c1cc2sc3c(c4cc(Cl)c(CC)s4)c4c(c(c5sc(CC)c(c5)Cl)c3c2s1)sc1cc(sc41),-13.617,-5.398729,D
144,267_C,c1c(SCC)c(SCC)c(c2c1C(=O)c1c(C2=O)csc1),-14.837,-6.297869,D
145,268_C,c1c(CC)c2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1c(CC)c(sc61),-13.328,-5.185736,D
146,26_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1cc(sc61),-13.399,-5.238063,D
