,smi_filename,smiles,sTDDFTxtb_HOMO,B3LYP_HOMO,A_or_D,fused_ring_count
0,102_C,c1sc2c3c4nn(CC)nc4c4c5sc(cc5n(CC)c4c3n(c2c1)CC),-13.358,-5.207846,D,6
1,108_C,c1cc2sc3-c4c(C(CC)(CC)c3c2s1)cc1-c2c(C(c1c4)(CC)CC)c1c(s2)cc(s1),-13.36,-5.20932,D,7
2,110_C,c1c(CC)c2sc3c4c5c(nsn5)c5c6sc7c(CC)c([se]c7c6n(c5c4n(c3c2[se]1)CC)CC),-13.013,-4.953581,D,8
3,113_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1sc(cc61),-13.396,-5.235852,D,7
4,114_C,c1sc2-c3c(OC(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c4sc(cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)Oc2c1s3),-12.881,-4.856297,D,6
5,116_C,c1cc2sc3-c4c(C(Oc3c2s1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c3c(OC(c5ccc(CC)cc5)(c5ccc(CC)cc5)c2c1s4)c1c(s3)cc(s1),-12.655,-4.689735,D,8
6,117_C,c1sc2-c3c4c(cccc4C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1cc2-c4c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c5cccc(c1c3)c25)cc(s4),-13.702,-5.461374,D,8
7,11_C,c1cc2sc3-c4c(C(c3c2s1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c3c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c2c1s4)c1c(s3)cc(s1),-12.762,-4.768594,D,8
8,129_C,c1sc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc1c2cc4c(cc2n(CC)c1c3)-c1sc(cc1C4(c1ccc(CC)cc1)c1ccc(CC)cc1),-13.759,-5.503383,D,7
9,132_C,c1cc2C(CC)(CC)c3c(-c2s1)c1ccc2C(CC)(CC)c4cc(sc4-c2c1cc3),-13.663,-5.432631,D,6
10,133_C,c1sc2-c3c4c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)ccc1c2c5c6c(n(c(c3)c6c41)CC)cc1-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c(c51)cc2)cc(s3),-13.309,-5.171733,D,10
11,135_C,c1sc2-c3c([Si](c2c1)(CC)CC)cc1c2c(n(CC)c1c3)cc1-c3c([Si](c1c2)(CC)CC)cc(s3),-13.756,-5.501172,D,7
12,136_C,c1cc2sc3-c4c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c3c2s1)cc1c2cc3c(cc2n(CC)c1c4)-c1sc2cc(sc2c1C3(c1ccc(CC)cc1)c1ccc(CC)cc1),-13.458,-5.281546,D,9
13,140_C,c1c(CC)c2sc3-c4c(C(c3c2s1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c3c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c2c1s4)c1c(s3)c(CC)c(s1),-12.713,-4.732481,D,8
14,141_C,c1c(CC)c2sc3-c4c(C(c3c2s1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c3c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c2c1s4)c(CC)c(s3),-12.765,-4.770805,D,7
15,143_C,c1cc2sc3-c4sc5-c6cc7C(c8ccc(CC)cc8)(c8ccc(CC)cc8)c8c(-c7cc6C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c5c4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc(c8),-13.056,-4.985272,D,8
16,145_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1-c2c(C(c61)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc(s2),-13.138,-5.045706,D,8
17,146_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc2-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1s3)sc(c6),-13.071,-4.996327,D,8
18,149_C,c1sc2-c3c(C(c2c1)(c1ccc(OCC)cc1)c1ccc(OCC)cc1)c1cc2ccc4-c5c(C(c6ccc(OCC)cc6)(c6ccc(OCC)cc6)c4c2cc1cc3)cc(s5),-13.555,-5.353035,D,7
19,14_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c3)sc(c2),-13.761,-5.504857,D,5
20,150_C,c1sc2-c3c(C(c2c1C)(c1ccc(CC)cc1)c1ccc(CC)cc1C)c1cc2sc4-c5c(C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c4c2cc1s3)cc(s5),-13.181,-5.077397,D,7
21,152_C,c1sc2c3sc4c(OCC)c5c(c(OCC)c4c3n(c2c1)CC)sc1c2sc(cc2n(CC)c51),-12.964,-4.917468,D,7
22,153_C,c1sc2c3sc4c5c6c(nsn6)c6c7sc(c(CC)c7n(c6c5n(c4c3n(c2c1)CC)CC)CC),-12.916,-4.882092,D,8
23,155_C,c1sc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1cccc(CC)c1)cc(s2),-13.76,-5.50412,D,5
24,157_C,c1c(CC)c2sc3c4c5c(nsn5)c5c6sc7c8sc(c(CC)c8sc7c6n(c5c4n(c3c2s1)CC)CC),-12.961,-4.915257,D,9
25,158_C,c1cc2C(c3ccc(OCC)cc3)(c3ccc(OCC)cc3)c3c(-c2s1)cc1C(c2ccc(OCC)cc2)(c2ccc(OCC)cc2)c2c(-c1c3)sc(c2),-13.662,-5.431894,D,5
26,160_C,c1sc2c3sc4c5c6c(nsn6)c6c7sc8c(CC)c(sc8c7n(c6c5n(c4c3n(c2c1)CC)CC)CC),-12.856,-4.837872,D,9
27,166_C,c1sc2-c3c(C(c2c1)(CC)CC)cc1-c2c(C(CC)(CC)c1c3)cc1-c3c(C(c1c2)(CC)CC)cc(s3),-13.745,-5.493065,D,7
28,169_C,c1cc2C3N=CC=NC3c3c(-c2s1)sc(c3),-13.763,-5.506331,D,4
29,173_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)sc1c3sc2c(c3ccc(CC)s3)c3c(c(c4ccc(CC)s4)c12)sc1c2c(sc31)-c1sc(cc1C2(c1ccc(CC)cc1)c1ccc(CC)cc1),-12.998,-4.942526,D,9
30,174_C,c1cc2sc3-c4c(C(c3c2s1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(c2ccc(CC)s2)c2sc3-c5c(C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c3c2c(c1s4)c1ccc(CC)s1)c1c(s5)cc(s1),-13.004,-4.946948,D,9
31,176_C,c1c(F)c2c3c(nsn3)c(c(F)c2c2c1nsn2),-15.203,-6.567611,A,4
32,177_C,c1sc2-c3c(OC(CC)(CC)c2c1)cc1-c2c(C(c1c3)(CC)CC)cc1-c3c(C(Oc1c2)(CC)CC)cc(s3),-13.655,-5.426735,D,7
33,179_C,c1sc2-c3c(C(c2c1)(CC)CC)c1sc2-c4c(C(c2c1s3)(CC)CC)c1sc2-c3c(C(CC)(CC)c2c1s4)cc(s3),-12.594,-4.644778,D,9
34,181_C,c1c(OCC)c2sc3c4c5c(nsn5)c5c6sc7c(OCC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-12.972,-4.923364,D,8
35,184_C,c1ccc2C3=C(C(CC)(CC)c2c1)c1c(C3(CC)CC)cc(cc1),-14.265,-5.876305,D,4
36,186_C,c1cc2C(CC)(CC)c3c4C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c5c(-c4sc3-c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c5)sc1-c3c(C(c21)(CC)CC)cc(s3),-12.953,-4.909361,D,9
37,188_C,c1ccc2n(CC)c3c(c2c1)cc1c(c3)c2cc(ccc2n1CC),-13.46,-5.28302,D,5
38,189_C,c1sc2c3c(c4c(sc(c5ccc(CC)s5)c4c2c1)c1ccc(CC)s1)cc(s3),-13.151,-5.055287,D,4
39,190_C,c1cc2c(OCC)c3sc4-c5c(C(c4c3c(c2s1)OCC)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc1-c2c(C(c1c5)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(OCC)c3c(c(OCC)c1s2)cc(s3),-13.051,-4.981587,D,9
40,191_C,c1cc2c(c3ccc(CC)s3)c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3c(c2s1)c1ccc(CC)s1)sc1c(c2ccc(CC)s2)c2cc(sc2c(c2ccc(CC)s2)c71),-13.447,-5.273439,D,9
41,192_C,c1oc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc(o2),-13.867,-5.582979,D,5
42,193_C,c1ccc2C(CC)(CC)c3c(-c2c1)cc1c(c3)-c2cc(ccc2C1(CC)CC),-14.624,-6.140888,D,5
43,195_C,c1sc2c3c(cc(c4ccc(CC)s4)c2c1)c1cc(sc1c(c1ccc(CC)s1)c3),-13.806,-5.538022,D,4
44,203_C,c1cc2sc3c(c4ccc(CC)s4)c4c(c(c5ccc(CC)s5)c3c2s1)sc1cc(sc41),-13.495,-5.308815,D,5
45,206_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2[se]1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c3)sc(c2),-13.76,-5.50412,D,5
46,210_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc(c6),-13.538,-5.340506,D,6
47,215_C,c1[se]c2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c1s2)[se]c(c6),-13.206,-5.095822,D,10
48,216_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c1s2)sc(c6),-13.217,-5.103929,D,10
49,217_C,c1c(OCC)c2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(OCC)c(sc2-c1c3),-13.541,-5.342717,D,5
50,219_C,c1cc2C(CC)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(CC)c2c(-c1c3)sc(c2),-13.716,-5.471692,D,5
51,21_C,c1c(CC)c2sc3c4c5c(nsn5)c5c6sc7c(CC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-13.039,-4.972743,D,8
52,220_C,c1sc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(s2)c2sc(cc2n1CC),-13.159,-5.061183,D,7
53,225_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(C)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1cc(sc61),-13.392,-5.232904,D,7
54,227_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(CC)c6c(-c5cc4C(CC)(c4ccc(CC)cc4)c3c2s1)sc1cc(sc61),-13.372,-5.218164,D,7
55,228_C,c1cc2sc3-c4cc5C(c6ccc(OCC)cc6)(c6ccc(OCC)cc6)c6c(-c5cc4C(c4ccc(OCC)cc4)(c4ccc(OCC)cc4)c3c2s1)sc1cc(sc61),-13.33,-5.18721,D,7
56,229_C,c1cc2sc3-c4cc5C(c6ccccc6)(c6ccccc6)c6c(-c5cc4C(c4ccccc4)(c4ccccc4)c3c2s1)sc1c2c(n(CC)c61)cc(s2),-13.127,-5.037599,D,8
57,22_C,c1c(CC)c2sc3c4c5c(nn(CC)n5)c5c6sc7c(CC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-13.045,-4.977165,D,8
58,230_C,c1sc2-c3c(C(CC)(CC)c2c1)cc1cc2-c4c(C(c2cc1c3)(CC)CC)cc(s4),-13.847,-5.568239,D,6
59,233_C,c1cc2sc3c4C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c5c(-c4sc3c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c5)sc1c2sc2cc(sc12),-13.177,-5.074449,D,9
60,236_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)CC)sc1c2sc(cc2n(CC)c71),-12.925,-4.888725,D,9
61,237_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(CC)cc2c4sc5-c6c(C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c5c4c(CC)cc2c1s3)cc(s6),-13.343,-5.196791,D,8
62,238_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)sc1c2c(cc(OCC)c31)c1c(c(c2)OCC)c2c(s1)-c1sc(cc1C2(c1ccc(CC)cc1)c1ccc(CC)cc1),-13.167,-5.067079,D,8
63,239_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c3)sc1c3c(n(c4ccc(CC)cc4)c21)cc(s3),-13.188,-5.082556,D,7
64,240_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)c1ccc(CC)s1)sc(c7),-13.206,-5.095822,D,7
65,241_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)c1cc2sc(CC)cc2s1)sc(c7),-13.22,-5.10614,D,7
